order_item_id,order_id,item_id,quantity,unit_price
1,1,36,2,204
2,1,33,1,243
3,2,124,3,51
4,2,125,1,55
5,3,8,2,56
6,3,9,1,136
7,3,4,3,57
8,3,5,1,145
9,4,18,3,60
10,4,16,2,96
11,4,13,3,37
12,4,11,2,136
13,4,14,1,77
14,5,109,3,84
15,6,46,2,204
16,6,50,2,96
17,6,51,3,63
18,6,49,3,98
19,7,111,2,95
20,7,108,2,101
21,7,107,3,90
22,7,110,2,56
23,7,109,2,84
24,8,99,1,95
25,8,96,2,60
26,8,98,1,93
27,8,100,1,83
28,8,97,1,55
29,9,56,1,140
30,9,54,3,90
31,9,60,2,126
32,10,52,3,32
33,10,49,1,98
34,11,125,3,55
35,11,127,1,68
36,11,123,3,47
37,11,124,3,51
38,11,126,3,37
39,12,11,1,136
40,12,14,1,77
41,12,13,3,37
42,12,10,3,149
43,12,16,3,96
44,13,65,2,68
45,14,17,3,109
46,14,15,1,59
47,14,14,1,77
48,15,25,2,94
49,15,28,2,89
50,15,27,1,231
51,15,29,3,121
52,15,30,1,267
53,16,44,2,33
54,16,45,1,235
55,17,23,3,130
56,17,20,3,51
57,17,22,3,152
58,17,21,1,132
59,18,3,3,78
60,18,5,2,145
61,18,7,1,35
62,18,4,3,57
63,18,9,3,136
64,19,109,3,84
65,19,108,1,101
66,20,44,2,33
67,20,43,1,259
68,20,45,2,235
69,20,38,3,94
70,20,42,1,98
71,21,86,1,278
72,22,108,3,101
73,22,110,3,56
74,23,125,2,55
75,24,104,3,89
76,24,106,3,100
77,24,102,1,57
78,24,105,1,88
79,25,118,1,49
80,26,48,3,161
81,26,52,3,32
82,26,46,2,204
83,26,49,3,98
84,26,50,1,96
85,27,117,3,89
86,27,115,3,91
87,28,81,2,245
88,28,80,2,82
89,28,82,2,83
90,28,79,2,35
91,29,49,2,98
92,29,51,2,63
93,29,46,2,204
94,29,47,3,174
95,30,74,3,93
96,30,72,2,56
97,30,76,2,90
98,31,125,2,55
99,31,126,1,37
100,32,13,2,37
101,32,14,1,77
102,32,10,3,149
103,32,15,2,59
104,33,89,2,96
105,33,87,2,133
106,33,85,1,95
107,34,80,1,82
108,34,81,1,245
109,34,83,1,160
110,35,125,2,55
111,35,124,1,51
112,36,84,2,35
113,36,85,2,95
114,36,89,2,96
115,36,88,3,158
116,36,87,1,133
117,37,13,1,37
118,37,12,3,153
119,37,11,1,136
120,38,113,1,103
121,38,116,1,92
122,38,115,1,91
123,38,112,2,66
124,39,91,3,88
125,39,95,3,262
126,39,93,3,139
127,40,99,2,95
128,40,98,3,93
129,40,96,3,60
130,40,100,2,83
131,41,55,2,127
132,41,59,3,81
133,41,58,3,133
134,42,102,1,57
135,42,106,1,100
136,43,78,3,97
137,44,86,1,278
138,44,84,3,35
139,44,85,1,95
140,44,89,1,96
141,45,20,3,51
142,45,22,3,152
143,45,23,3,130
144,45,19,1,56
145,46,123,3,47
146,47,55,3,127
147,47,60,1,126
148,47,53,2,34
149,47,58,2,133
150,47,57,2,56
151,48,94,1,177
152,49,125,1,55
153,49,123,3,47
154,49,124,1,51
155,49,126,2,37
156,50,123,2,47
157,51,110,1,56
158,52,8,1,56
159,52,4,2,57
160,53,34,3,121
161,53,31,3,95
162,54,3,1,78
163,55,70,2,98
164,55,69,3,93
165,55,67,1,54
166,55,68,3,70
167,55,71,1,70
168,56,11,1,136
169,56,15,1,59
170,57,46,2,204
171,57,50,2,96
172,57,48,2,161
173,57,52,3,32
174,57,47,1,174
175,58,111,3,95
176,58,108,2,101
177,58,107,2,90
178,59,116,1,92
179,59,115,1,91
180,59,113,3,103
181,59,114,3,56
182,59,117,3,89
183,60,15,1,59
184,60,10,2,149
185,61,63,3,149
186,61,64,2,163
187,61,65,2,68
188,61,61,3,34
189,61,62,3,87
190,62,29,1,121
191,63,96,2,60
192,63,97,2,55
193,64,125,3,55
194,64,124,1,51
195,65,127,1,68
196,65,123,1,47
197,65,124,2,51
198,65,126,2,37
199,65,125,1,55
200,66,93,2,139
201,67,31,3,95
202,67,32,3,35
203,68,107,1,90
204,69,34,1,121
205,70,109,3,84
206,70,108,2,101
207,70,111,2,95
208,71,108,2,101
209,71,110,3,56
210,71,107,2,90
211,72,109,1,84
212,72,110,3,56
213,72,107,2,90
214,72,111,3,95
215,72,108,3,101
216,73,30,2,267
217,73,25,1,94
218,73,28,3,89
219,74,103,1,102
220,74,102,3,57
221,74,106,2,100
222,74,105,2,88
223,74,104,3,89
224,75,70,2,98
225,75,68,2,70
226,75,67,1,54
227,76,127,3,68
228,77,124,2,51
229,77,125,3,55
230,77,126,1,37
231,78,79,1,35
232,78,82,3,83
233,78,81,1,245
234,78,80,3,82
235,78,83,2,160
236,79,83,3,160
237,80,49,3,98
238,80,48,2,161
239,80,51,1,63
240,80,46,2,204
241,81,119,3,65
242,81,118,1,49
243,81,120,3,35
244,82,100,1,83
245,82,99,1,95
