order_id,customer_id,restaurant_id,driver_id,order_datetime,delivery_datetime,order_status,payment_method,delivery_fee
1,2172,5,203,2025-09-09 08:19:43,2025-09-09 09:30:43,Cancelled,Card,20
2,2237,20,321,2024-11-17 10:49:52,2024-11-17 11:15:52,Failed,Card,35
3,2957,1,130,2025-05-16 23:23:33,2025-05-17 00:02:33,Delivered,Cash,35
4,1819,2,61,2026-03-29 01:50:07,2026-03-29 02:35:07,Delivered,Card,30
5,1178,17,345,2025-06-14 00:30:07,2025-06-14 01:45:07,Delivered,Cash,30
6,1279,7,257,2024-09-30 01:23:12,2024-09-30 02:07:12,Delivered,Card,30
7,492,17,91,2026-01-05 08:43:53,2026-01-05 09:35:53,Delivered,Cash,35
8,2885,15,317,2024-10-10 03:29:43,2024-10-10 03:59:43,Delivered,Card,20
9,2235,8,105,2025-09-12 03:51:53,2025-09-12 04:14:53,Delivered,Cash,25
10,2282,7,36,2026-05-08 16:53:38,2026-05-08 17:14:38,Delivered,Card,25
11,346,20,106,2025-07-26 10:35:51,2025-07-26 11:15:51,Delivered,Card,30
12,1570,2,223,2025-05-27 14:25:56,2025-05-27 15:23:56,Delivered,Wallet,20
13,1571,9,291,2024-12-09 18:40:41,2024-12-09 19:03:41,Delivered,Cash,15
14,75,2,224,2025-09-07 07:27:15,2025-09-07 08:40:15,Delivered,Card,25
15,1849,4,74,2026-01-28 18:10:31,2026-01-28 18:47:31,Delivered,Cash,20
16,2331,6,275,2026-01-13 21:39:17,2026-01-13 22:04:17,Delivered,Wallet,25
17,737,3,29,2025-09-27 13:37:49,2025-09-27 14:01:49,Cancelled,Card,20
18,1544,1,267,2024-08-10 17:00:26,2024-08-10 17:59:26,Delivered,Cash,20
19,1361,17,133,2026-01-04 16:28:25,2026-01-04 16:54:25,Delivered,Card,30
20,332,6,356,2024-11-21 11:00:33,2024-11-21 11:59:33,Delivered,Cash,15
21,2649,13,207,2025-03-08 10:24:08,2025-03-08 11:22:08,Delivered,Card,35
22,393,17,174,2025-02-10 16:39:36,2025-02-10 17:38:36,Cancelled,Wallet,25
23,2794,20,178,2025-06-26 00:02:16,2025-06-26 00:57:16,Delivered,Card,25
24,998,16,12,2025-05-24 09:37:50,2025-05-24 09:59:50,Delivered,Card,20
25,1704,19,201,2025-06-03 11:51:36,2025-06-03 12:23:36,Delivered,Cash,30
26,347,7,96,2025-05-21 14:19:16,2025-05-21 15:28:16,Failed,Card,30
27,2149,18,158,2024-09-13 04:43:13,2024-09-13 05:17:13,Delivered,Wallet,35
28,1406,12,229,2026-05-25 04:54:34,2026-05-25 06:08:34,Delivered,Wallet,15
29,1007,7,347,2025-04-18 10:42:43,2025-04-18 11:07:43,Delivered,Card,15
30,1583,11,95,2025-08-28 16:13:14,2025-08-28 16:33:14,Delivered,Cash,30
31,461,20,239,2024-10-03 20:36:22,2024-10-03 21:11:22,Delivered,Wallet,25
32,592,2,57,2025-11-11 15:46:02,2025-11-11 16:36:02,Delivered,Cash,20
33,1619,13,102,2026-02-17 13:49:38,2026-02-17 14:22:38,Delivered,Cash,25
34,869,12,142,2024-12-25 00:34:18,2024-12-25 01:36:18,Delivered,Cash,15
35,2851,20,303,2024-12-10 15:49:31,2024-12-10 16:58:31,Delivered,Cash,20
36,1519,13,233,2025-11-29 11:09:12,2025-11-29 12:20:12,Delivered,Cash,25
37,73,2,399,2025-03-06 23:49:44,2025-03-07 00:12:44,Delivered,Card,30
38,1850,18,367,2026-02-18 10:21:37,2026-02-18 10:59:37,Delivered,Card,30
39,985,14,382,2025-07-08 18:53:28,2025-07-08 19:36:28,Delivered,Wallet,15
40,1828,15,317,2026-01-31 07:56:06,2026-01-31 08:35:06,Delivered,Wallet,25
41,484,8,28,2026-04-30 17:10:33,2026-04-30 18:06:33,Delivered,Cash,35
42,2325,16,378,2025-10-22 00:53:34,2025-10-22 01:31:34,Delivered,Card,15
43,1293,12,189,2025-11-15 12:02:26,2025-11-15 12:36:26,Delivered,Card,35
44,1867,13,77,2025-06-13 02:32:23,2025-06-13 03:14:23,Delivered,Wallet,35
45,2587,3,8,2024-08-03 09:22:49,2024-08-03 10:18:49,Delivered,Card,25
46,1623,20,121,2025-08-28 00:24:38,2025-08-28 01:32:38,Delivered,Cash,35
47,825,8,266,2026-04-10 08:13:15,2026-04-10 08:44:15,Delivered,Card,20
48,422,14,382,2025-12-08 13:08:25,2025-12-08 13:40:25,Delivered,Card,20
49,1582,20,236,2025-03-02 11:55:06,2025-03-02 12:41:06,Delivered,Cash,30
50,2750,20,132,2026-06-15 23:54:30,2026-06-16 01:07:30,Delivered,Card,30
51,1812,17,287,2024-10-08 12:34:13,2024-10-08 13:14:13,Delivered,Wallet,35
52,936,1,103,2025-03-25 20:49:31,2025-03-25 21:28:31,Delivered,Cash,35
53,815,5,360,2024-10-21 06:20:43,2024-10-21 07:05:43,Delivered,Cash,20
54,761,1,367,2024-12-23 07:38:59,2024-12-23 08:32:59,Delivered,Cash,30
55,759,10,262,2025-04-29 23:05:10,2025-04-30 00:10:10,Delivered,Cash,15
56,1973,2,364,2025-08-04 06:40:26,2025-08-04 07:41:26,Delivered,Card,15
57,1742,7,281,2025-11-12 23:36:43,2025-11-13 00:05:43,Delivered,Card,25
58,2352,17,116,2025-08-18 16:30:23,2025-08-18 17:42:23,Delivered,Wallet,30
59,2030,18,320,2024-12-13 00:40:17,2024-12-13 01:05:17,Delivered,Wallet,20
60,2952,2,98,2024-12-12 15:01:35,2024-12-12 15:41:35,Delivered,Card,30
61,763,9,291,2025-01-12 15:28:56,2025-01-12 16:14:56,Delivered,Cash,30
62,2244,4,152,2024-09-05 18:51:22,2024-09-05 19:42:22,Delivered,Cash,30
63,2766,15,81,2025-04-20 12:50:36,2025-04-20 13:27:36,Delivered,Card,35
64,258,20,86,2025-11-04 06:47:18,2025-11-04 07:15:18,Delivered,Wallet,20
65,690,20,124,2024-10-22 11:00:16,2024-10-22 11:20:16,Delivered,Cash,35
66,1632,14,394,2025-04-06 18:36:39,2025-04-06 19:32:39,Delivered,Card,30
67,2575,5,210,2025-01-25 09:34:35,2025-01-25 10:48:35,Delivered,Wallet,20
68,124,17,132,2025-05-26 20:13:50,2025-05-26 21:24:50,Delivered,Cash,35
69,2095,5,253,2025-12-27 12:50:54,2025-12-27 13:44:54,Delivered,Card,25
70,1636,17,133,2025-08-28 23:37:45,2025-08-29 00:37:45,Delivered,Cash,20
71,1623,17,184,2026-06-26 20:58:23,2026-06-26 22:00:23,Delivered,Card,35
72,1441,17,390,2024-08-21 11:07:09,2024-08-21 11:28:09,Delivered,Cash,20
73,2736,4,203,2025-01-04 21:00:06,2025-01-04 22:14:06,Delivered,Card,30
74,1785,16,194,2025-07-19 22:58:33,2025-07-20 00:03:33,Delivered,Cash,15
75,1467,10,343,2025-10-23 14:10:47,2025-10-23 15:05:47,Delivered,Card,35
76,581,20,172,2025-05-05 13:50:34,2025-05-05 14:40:34,Delivered,Wallet,35
77,1161,20,390,2026-05-11 13:53:42,2026-05-11 14:47:42,Delivered,Card,15
78,2559,12,324,2026-04-10 00:09:34,2026-04-10 00:51:34,Delivered,Card,20
79,2740,12,260,2025-05-23 09:12:40,2025-05-23 10:16:40,Delivered,Card,35
80,2603,7,335,2024-07-18 21:51:11,2024-07-18 22:41:11,Delivered,Wallet,15
81,941,19,105,2024-10-19 11:24:24,2024-10-19 12:32:24,Delivered,Cash,30
82,1010,15,383,2026-04-16 04:08:44,2026-04-16 04:43:44,Delivered,Card,30
83,319,10,266,2025-06-30 13:52:19,2025-06-30 14:49:19,Delivered,Card,25
84,2969,13,345,2025-12-31 22:58:29,2025-12-31 23:57:29,Delivered,Cash,25
85,747,12,283,2025-07-31 04:25:03,2025-07-31 05:22:03,Delivered,Cash,30
86,1942,12,112,2025-11-28 08:39:04,2025-11-28 09:54:04,Delivered,Cash,15
87,1840,4,204,2026-04-18 17:06:41,2026-04-18 17:53:41,Delivered,Card,25
88,2309,17,2,2024-10-24 09:32:15,2024-10-24 10:04:15,Delivered,Card,30
89,370,5,161,2025-07-03 10:55:04,2025-07-03 11:32:04,Delivered,Wallet,15
90,1235,17,321,2026-02-13 23:35:27,2026-02-14 00:21:27,Delivered,Cash,25
91,2144,8,147,2024-09-22 15:28:25,2024-09-22 16:20:25,Delivered,Cash,30
92,1484,2,17,2025-12-06 05:37:13,2025-12-06 06:41:13,Delivered,Card,15
93,2759,2,53,2026-01-04 12:05:15,2026-01-04 12:52:15,Delivered,Wallet,30
94,1779,13,397,2025-05-21 11:48:27,2025-05-21 12:29:27,Delivered,Card,35
95,1718,6,383,2024-12-26 11:10:53,2024-12-26 11:31:53,Delivered,Cash,25
96,2401,17,86,2025-07-24 15:41:00,2025-07-24 16:20:00,Delivered,Cash,20
97,2173,9,107,2025-05-29 14:38:10,2025-05-29 15:31:10,Delivered,Cash,35
98,1862,3,168,2025-03-05 19:16:34,2025-03-05 20:21:34,Delivered,Wallet,35
99,1731,5,96,2026-04-26 21:53:04,2026-04-26 23:06:04,Delivered,Cash,25
100,1019,13,213,2025-12-10 18:40:38,2025-12-10 19:11:38,Delivered,Cash,20
101,698,8,290,2025-07-26 15:40:31,2025-07-26 16:15:31,Failed,Cash,30
102,1500,3,25,2025-03-06 00:47:50,2025-03-06 01:32:50,Delivered,Cash,20
103,1634,17,269,2025-08-29 11:08:05,2025-08-29 12:13:05,Delivered,Wallet,35
104,1794,12,275,2024-11-06 18:15:08,2024-11-06 19:10:08,Delivered,Card,20
105,2551,13,355,2026-06-01 21:57:40,2026-06-01 22:34:40,Delivered,Card,20
106,1334,1,338,2026-05-09 23:11:03,2026-05-10 00:05:03,Delivered,Card,25
107,1528,18,130,2025-12-13 06:21:18,2025-12-13 07:30:18,Delivered,Cash,15
108,458,19,99,2025-03-21 23:54:45,2025-03-22 01:06:45,Delivered,Cash,15
109,1666,12,337,2026-05-09 20:10:40,2026-05-09 21:15:40,Delivered,Cash,20
110,319,7,333,2026-04-14 09:51:17,2026-04-14 10:45:17,Delivered,Card,35
111,170,4,71,2025-02-03 17:49:58,2025-02-03 19:00:58,Delivered,Cash,35
112,744,5,79,2026-03-04 11:21:20,2026-03-04 12:02:20,Delivered,Card,25
113,2699,12,304,2024-08-08 09:28:06,2024-08-08 09:52:06,Delivered,Cash,20
114,2201,1,250,2026-05-28 02:07:38,2026-05-28 02:59:38,Delivered,Card,30
115,1563,2,175,2025-03-04 06:44:20,2025-03-04 07:47:20,Delivered,Card,20
116,2686,7,386,2025-02-14 16:04:41,2025-02-14 16:41:41,Delivered,Card,35
117,887,10,95,2026-01-27 12:03:08,2026-01-27 12:23:08,Cancelled,Card,20
118,2874,12,248,2025-06-08 00:00:06,2025-06-08 00:24:06,Delivered,Card,35
119,1160,16,191,2024-09-08 10:06:07,2024-09-08 10:28:07,Delivered,Card,35
120,2294,16,353,2025-02-06 18:11:27,2025-02-06 19:02:27,Delivered,Card,35
121,2282,8,25,2026-02-14 22:22:29,2026-02-14 23:24:29,Delivered,Card,15
122,239,5,71,2024-11-30 22:31:01,2024-11-30 23:25:01,Delivered,Cash,30
123,395,9,13,2024-12-26 12:07:59,2024-12-26 12:49:59,Delivered,Card,30
124,509,5,25,2024-11-03 21:37:31,2024-11-03 22:10:31,Delivered,Cash,20
125,1344,7,7,2025-07-15 03:50:01,2025-07-15 04:15:01,Delivered,Card,30
126,2163,10,158,2026-04-12 23:40:33,2026-04-13 00:38:33,Delivered,Card,30
127,1571,9,12,2024-10-15 09:42:36,2024-10-15 10:47:36,Delivered,Card,30
128,444,11,257,2024-12-21 01:28:53,2024-12-21 02:35:53,Delivered,Card,25
129,1111,20,287,2025-01-27 01:57:45,2025-01-27 02:19:45,Delivered,Card,15
130,1510,6,202,2025-11-05 13:35:39,2025-11-05 14:01:39,Delivered,Cash,30
131,1683,11,28,2025-03-14 03:10:47,2025-03-14 04:01:47,Delivered,Cash,25
132,2142,12,41,2026-05-03 08:55:24,2026-05-03 10:03:24,Delivered,Cash,20
133,1594,2,306,2025-12-06 04:29:27,2025-12-06 04:57:27,Delivered,Wallet,20
134,766,11,34,2025-09-15 17:50:23,2025-09-15 18:48:23,Delivered,Cash,20
135,1327,17,236,2024-08-11 02:48:20,2024-08-11 03:29:20,Delivered,Card,15
136,1482,13,15,2025-12-25 18:01:45,2025-12-25 19:02:45,Delivered,Card,15
137,2385,20,151,2026-01-25 08:54:09,2026-01-25 10:07:09,Delivered,Card,25
138,337,8,51,2026-03-14 00:44:55,2026-03-14 01:42:55,Delivered,Cash,15
139,2257,15,18,2026-06-15 04:54:33,2026-06-15 05:30:33,Delivered,Cash,15
140,2047,9,72,2025-04-01 11:14:44,2025-04-01 11:59:44,Failed,Cash,15
141,1756,18,367,2025-06-06 17:00:39,2025-06-06 17:26:39,Delivered,Cash,30
142,2513,1,147,2025-02-02 12:50:25,2025-02-02 14:03:25,Delivered,Wallet,30
143,1973,2,98,2025-04-11 04:52:06,2025-04-11 05:22:06,Delivered,Card,35
144,2088,1,24,2024-07-15 09:02:04,2024-07-15 09:45:04,Delivered,Wallet,25
145,57,2,224,2026-03-25 16:25:28,2026-03-25 17:02:28,Delivered,Cash,25
146,62,7,266,2025-02-25 00:17:25,2025-02-25 00:38:25,Delivered,Card,35
147,626,12,312,2026-05-30 15:28:20,2026-05-30 16:02:20,Delivered,Card,35
148,2923,9,111,2025-04-03 16:53:47,2025-04-03 18:07:47,Delivered,Card,25
149,1293,12,202,2025-02-17 08:20:07,2025-02-17 08:44:07,Delivered,Cash,30
150,1471,17,11,2026-01-15 03:48:50,2026-01-15 04:20:50,Delivered,Card,25
151,1378,5,272,2025-04-13 20:04:57,2025-04-13 20:26:57,Delivered,Wallet,15
152,391,18,24,2025-03-10 03:10:04,2025-03-10 04:06:04,Delivered,Card,30
153,651,11,251,2025-10-15 09:00:58,2025-10-15 09:39:58,Delivered,Card,25
154,2720,2,94,2026-07-13 11:08:07,2026-07-13 11:44:07,Delivered,Card,15
155,616,18,343,2025-06-08 14:24:21,2025-06-08 14:58:21,Delivered,Card,20
