payment_id,order_id,payment_method,payment_status,amount_paid,payment_datetime
1,1,Card,Refunded,671,2025-09-09 08:19:43
2,2,Card,Failed,243,2024-11-17 10:49:52
3,3,Cash,Paid,599,2025-05-16 23:23:33
4,4,Card,Paid,862,2026-03-29 01:50:07
5,5,Cash,Paid,282,2025-06-14 00:30:07
6,6,Card,Paid,1113,2024-09-30 01:23:12
7,7,Cash,Paid,977,2026-01-05 08:43:53
8,8,Card,Paid,466,2024-10-10 03:29:43
9,9,Cash,Paid,687,2025-09-12 03:51:53
10,10,Card,Paid,219,2026-05-08 16:53:38
11,11,Card,Paid,668,2025-07-26 10:35:51
12,12,Wallet,Paid,1079,2025-05-27 14:25:56
13,13,Cash,Paid,151,2024-12-09 18:40:41
14,14,Card,Paid,488,2025-09-07 07:27:15
15,15,Cash,Paid,1247,2026-01-28 18:10:31
16,16,Wallet,Paid,326,2026-01-13 21:39:17
17,17,Card,Refunded,1151,2025-09-27 13:37:49
18,18,Cash,Paid,1158,2024-08-10 17:00:26
19,19,Card,Paid,383,2026-01-04 16:28:25
20,20,Cash,Paid,1190,2024-11-21 11:00:33
21,21,Card,Paid,313,2025-03-08 10:24:08
22,22,Wallet,Refunded,496,2025-02-10 16:39:36
23,23,Card,Paid,135,2025-06-26 00:02:16
24,24,Card,Paid,732,2025-05-24 09:37:50
25,25,Cash,Paid,79,2025-06-03 11:51:36
26,26,Card,Failed,1407,2025-05-21 14:19:16
27,27,Wallet,Paid,575,2024-09-13 04:43:13
28,28,Wallet,Paid,905,2026-05-25 04:54:34
29,29,Card,Paid,1267,2025-04-18 10:42:43
30,30,Cash,Paid,601,2025-08-28 16:13:14
31,31,Wallet,Paid,172,2024-10-03 20:36:22
32,32,Cash,Paid,736,2025-11-11 15:46:02
33,33,Cash,Paid,578,2026-02-17 13:49:38
34,34,Cash,Paid,502,2024-12-25 00:34:18
35,35,Cash,Paid,181,2024-12-10 15:49:31
36,36,Cash,Paid,1084,2025-11-29 11:09:12
37,37,Card,Paid,662,2025-03-06 23:49:44
38,38,Card,Paid,448,2026-02-18 10:21:37
39,39,Wallet,Paid,1482,2025-07-08 18:53:28
40,40,Wallet,Paid,840,2026-01-31 07:56:06
41,41,Cash,Paid,931,2026-04-30 17:10:33
42,42,Card,Paid,172,2025-10-22 00:53:34
43,43,Card,Paid,326,2025-11-15 12:02:26
44,44,Wallet,Paid,609,2025-06-13 02:32:23
45,45,Card,Paid,1080,2024-08-03 09:22:49
46,46,Cash,Paid,176,2025-08-28 00:24:38
47,47,Card,Paid,973,2026-04-10 08:13:15
48,48,Card,Paid,197,2025-12-08 13:08:25
49,49,Cash,Paid,351,2025-03-02 11:55:06
50,50,Card,Paid,124,2026-06-15 23:54:30
51,51,Wallet,Paid,91,2024-10-08 12:34:13
52,52,Cash,Paid,205,2025-03-25 20:49:31
53,53,Cash,Paid,668,2024-10-21 06:20:43
54,54,Cash,Paid,108,2024-12-23 07:38:59
55,55,Cash,Paid,824,2025-04-29 23:05:10
56,56,Card,Paid,210,2025-08-04 06:40:26
57,57,Card,Paid,1217,2025-11-12 23:36:43
58,58,Wallet,Paid,697,2025-08-18 16:30:23
59,59,Wallet,Paid,947,2024-12-13 00:40:17
60,60,Card,Paid,387,2024-12-12 15:01:35
61,61,Cash,Paid,1302,2025-01-12 15:28:56
62,62,Cash,Paid,151,2024-09-05 18:51:22
63,63,Card,Paid,265,2025-04-20 12:50:36
64,64,Wallet,Paid,236,2025-11-04 06:47:18
65,65,Cash,Paid,381,2024-10-22 11:00:16
66,66,Card,Paid,308,2025-04-06 18:36:39
67,67,Wallet,Paid,410,2025-01-25 09:34:35
68,68,Cash,Paid,125,2025-05-26 20:13:50
69,69,Card,Paid,146,2025-12-27 12:50:54
70,70,Cash,Paid,664,2025-08-28 23:37:45
71,71,Card,Paid,585,2026-06-26 20:58:23
72,72,Cash,Paid,1040,2024-08-21 11:07:09
73,73,Card,Paid,925,2025-01-04 21:00:06
74,74,Cash,Paid,931,2025-07-19 22:58:33
75,75,Card,Paid,425,2025-10-23 14:10:47
76,76,Wallet,Paid,239,2025-05-05 13:50:34
77,77,Card,Paid,319,2026-05-11 13:53:42
78,78,Card,Paid,1115,2026-04-10 00:09:34
79,79,Card,Paid,515,2025-05-23 09:12:40
80,80,Wallet,Paid,1102,2024-07-18 21:51:11
81,81,Cash,Paid,379,2024-10-19 11:24:24
82,82,Card,Paid,586,2026-04-16 04:08:44
83,83,Card,Paid,844,2025-06-30 13:52:19
84,84,Cash,Paid,120,2025-12-31 22:58:29
85,85,Cash,Paid,166,2025-07-31 04:25:03
86,86,Cash,Paid,1507,2025-11-28 08:39:04
87,87,Card,Paid,114,2026-04-18 17:06:41
88,88,Card,Paid,114,2024-10-24 09:32:15
89,89,Wallet,Paid,1171,2025-07-03 10:55:04
90,90,Cash,Paid,295,2026-02-13 23:35:27
91,91,Cash,Paid,449,2024-09-22 15:28:25
92,92,Card,Paid,1100,2025-12-06 05:37:13
93,93,Wallet,Paid,150,2026-01-04 12:05:15
94,94,Card,Paid,226,2025-05-21 11:48:27
95,95,Cash,Paid,319,2024-12-26 11:10:53
96,96,Cash,Paid,300,2025-07-24 15:41:00
97,97,Cash,Paid,1315,2025-05-29 14:38:10
98,98,Wallet,Paid,332,2025-03-05 19:16:34
99,99,Cash,Paid,722,2026-04-26 21:53:04
100,100,Cash,Paid,1045,2025-12-10 18:40:38
101,101,Cash,Failed,677,2025-07-26 15:40:31
102,102,Cash,Paid,874,2025-03-06 00:47:50
103,103,Wallet,Paid,741,2025-08-29 11:08:05
104,104,Card,Paid,869,2024-11-06 18:15:08
105,105,Card,Paid,245,2026-06-01 21:57:40
106,106,Card,Paid,666,2026-05-09 23:11:03
107,107,Cash,Paid,218,2025-12-13 06:21:18
108,108,Cash,Paid,290,2025-03-21 23:54:45
109,109,Cash,Paid,753,2026-05-09 20:10:40
110,110,Card,Paid,131,2026-04-14 09:51:17
111,111,Cash,Paid,2210,2025-02-03 17:49:58
112,112,Card,Paid,388,2026-03-04 11:21:20
113,113,Cash,Paid,564,2024-08-08 09:28:06
114,114,Card,Paid,1054,2026-05-28 02:07:38
115,115,Card,Paid,131,2025-03-04 06:44:20
116,116,Card,Paid,357,2025-02-14 16:04:41
117,117,Card,Refunded,284,2026-01-27 12:03:08
118,118,Card,Paid,515,2025-06-08 00:00:06
119,119,Card,Paid,481,2024-09-08 10:06:07
120,120,Card,Paid,494,2025-02-06 18:11:27
121,121,Card,Paid,49,2026-02-14 22:22:29
122,122,Cash,Paid,323,2024-11-30 22:31:01
123,123,Card,Paid,758,2024-12-26 12:07:59
124,124,Cash,Paid,997,2024-11-03 21:37:31
125,125,Card,Paid,1347,2025-07-15 03:50:01
126,126,Card,Paid,380,2026-04-12 23:40:33
127,127,Card,Paid,678,2024-10-15 09:42:36
128,128,Card,Paid,395,2024-12-21 01:28:53
129,129,Card,Paid,83,2025-01-27 01:57:45
130,130,Cash,Paid,950,2025-11-05 13:35:39
131,131,Cash,Paid,301,2025-03-14 03:10:47
132,132,Cash,Paid,777,2026-05-03 08:55:24
133,133,Wallet,Paid,626,2025-12-06 04:29:27
134,134,Cash,Paid,290,2025-09-15 17:50:23
135,135,Card,Paid,570,2024-08-11 02:48:20
136,136,Card,Paid,1688,2025-12-25 18:01:45
137,137,Card,Paid,150,2026-01-25 08:54:09
138,138,Cash,Paid,803,2026-03-14 00:44:55
139,139,Cash,Paid,543,2026-06-15 04:54:33
140,140,Cash,Failed,1473,2025-04-01 11:14:44
141,141,Cash,Paid,121,2025-06-06 17:00:39
142,142,Wallet,Paid,505,2025-02-02 12:50:25
143,143,Card,Paid,452,2025-04-11 04:52:06
144,144,Wallet,Paid,350,2024-07-15 09:02:04
145,145,Cash,Paid,1281,2026-03-25 16:25:28
146,146,Card,Paid,561,2025-02-25 00:17:25
147,147,Card,Paid,284,2026-05-30 15:28:20
148,148,Card,Paid,409,2025-04-03 16:53:47
149,149,Cash,Paid,520,2025-02-17 08:20:07
150,150,Card,Paid,917,2026-01-15 03:48:50
151,151,Wallet,Paid,813,2025-04-13 20:04:57
152,152,Card,Paid,280,2025-03-10 03:10:04
153,153,Card,Paid,171,2025-10-15 09:00:58
154,154,Card,Paid,713,2026-07-13 11:08:07
155,155,Card,Paid,280,2025-06-08 14:24:21
156,156,Card,Paid,211,2025-02-09 01:16:10
157,157,Wallet,Paid,393,2025-03-15 21:09:57
158,158,Card,Paid,518,2026-05-11 13:17:07
159,159,Cash,Paid,303,2026-04-03 01:48:49
160,160,Card,Paid,1195,2024-12-02 00:04:28
161,161,Cash,Paid,361,2025-09-26 13:25:46
162,162,Card,Paid,109,2024-10-18 03:39:47
163,163,Card,Refunded,1012,2024-10-18 09:40:21
164,164,Card,Paid,203,2026-01-20 09:53:13
165,165,Card,Paid,1401,2025-07-12 05:20:45
166,166,Card,Paid,652,2025-08-26 00:53:27
167,167,Card,Paid,301,2026-01-24 02:11:54
168,168,Wallet,Paid,292,2025-01-09 01:57:05
169,169,Wallet,Paid,168,2025-02-19 07:33:06
170,170,Cash,Paid,224,2026-07-09 09:26:17
171,171,Cash,Paid,358,2025-10-24 04:23:49
172,172,Cash,Paid,221,2025-12-21 16:15:35
173,173,Cash,Paid,1590,2025-11-22 21:14:11
174,174,Cash,Paid,93,2024-11-22 13:48:09
175,175,Cash,Paid,1071,2025-10-26 08:48:39
176,176,Cash,Paid,85,2025-09-16 01:59:14
177,177,Card,Paid,811,2025-05-30 02:24:41
178,178,Card,Paid,331,2025-01-27 15:28:30
179,179,Card,Paid,400,2025-08-10 04:24:02
