review_id,order_id,customer_id,restaurant_id,driver_id,rating,review_text,review_date
1,3,2957,1,130,4,Excellent service,2025-05-17 00:02:33
2,4,1819,2,61,1,Food quality could be better,2026-03-29 02:35:07
3,5,1178,17,345,4,Highly recommended,2025-06-14 01:45:07
4,6,1279,7,257,4,Very fast delivery,2024-09-30 02:07:12
5,8,2885,15,317,4,Food was delicious,2024-10-10 03:59:43
6,9,2235,8,105,1,Wrong order,2025-09-12 04:14:53
7,10,2282,7,36,4,Fresh food,2026-05-08 17:14:38
8,13,1571,9,291,5,Excellent service,2024-12-09 19:03:41
9,14,75,2,224,5,Food was delicious,2025-09-07 08:40:15
10,15,1849,4,74,5,Very fast delivery,2026-01-28 18:47:31
11,16,2331,6,275,5,Food was delicious,2026-01-13 22:04:17
12,18,1544,1,267,2,Driver was rude,2024-08-10 17:59:26
13,19,1361,17,133,5,Food was delicious,2026-01-04 16:54:25
14,21,2649,13,207,1,Driver was rude,2025-03-08 11:22:08
15,23,2794,20,178,3,Average experience,2025-06-26 00:57:16
16,24,998,16,12,4,Food was delicious,2025-05-24 09:59:50
17,25,1704,19,201,2,Not worth the price,2025-06-03 12:23:36
18,28,1406,12,229,5,Excellent service,2026-05-25 06:08:34
19,29,1007,7,347,4,Very fast delivery,2025-04-18 11:07:43
20,31,461,20,239,5,Very fast delivery,2024-10-03 21:11:22
21,32,592,2,57,4,Driver was polite,2025-11-11 16:36:02
22,33,1619,13,102,4,Highly recommended,2026-02-17 14:22:38
23,34,869,12,142,5,Driver was polite,2024-12-25 01:36:18
24,35,2851,20,303,3,Cold food,2024-12-10 16:58:31
25,36,1519,13,233,5,Excellent service,2025-11-29 12:20:12
26,37,73,2,399,4,Amazing restaurant,2025-03-07 00:12:44
27,38,1850,18,367,5,Food was delicious,2026-02-18 10:59:37
28,39,985,14,382,5,Very fast delivery,2025-07-08 19:36:28
29,40,1828,15,317,4,Highly recommended,2026-01-31 08:35:06
30,41,484,8,28,3,Driver was rude,2026-04-30 18:06:33
31,42,2325,16,378,2,Food quality could be better,2025-10-22 01:31:34
32,44,1867,13,77,5,Excellent service,2025-06-13 03:14:23
33,45,2587,3,8,3,Wrong order,2024-08-03 10:18:49
34,46,1623,20,121,5,Food was delicious,2025-08-28 01:32:38
35,47,825,8,266,4,Amazing restaurant,2026-04-10 08:44:15
36,48,422,14,382,2,Late delivery,2025-12-08 13:40:25
37,49,1582,20,236,5,Highly recommended,2025-03-02 12:41:06
38,50,2750,20,132,5,Excellent service,2026-06-16 01:07:30
39,51,1812,17,287,5,Highly recommended,2024-10-08 13:14:13
40,52,936,1,103,4,Fresh food,2025-03-25 21:28:31
41,53,815,5,360,3,Not worth the price,2024-10-21 07:05:43
42,55,759,10,262,4,Very fast delivery,2025-04-30 00:10:10
43,56,1973,2,364,5,Excellent service,2025-08-04 07:41:26
44,57,1742,7,281,1,Not worth the price,2025-11-13 00:05:43
45,58,2352,17,116,5,Fresh food,2025-08-18 17:42:23
46,59,2030,18,320,1,Not worth the price,2024-12-13 01:05:17
47,60,2952,2,98,3,Driver was rude,2024-12-12 15:41:35
48,61,763,9,291,2,Not worth the price,2025-01-12 16:14:56
49,62,2244,4,152,5,Excellent service,2024-09-05 19:42:22
50,63,2766,15,81,5,Perfect experience,2025-04-20 13:27:36
51,64,258,20,86,4,Fresh food,2025-11-04 07:15:18
52,66,1632,14,394,4,Very fast delivery,2025-04-06 19:32:39
53,67,2575,5,210,4,Excellent service,2025-01-25 10:48:35
54,69,2095,5,253,3,Not worth the price,2025-12-27 13:44:54
55,73,2736,4,203,5,Perfect experience,2025-01-04 22:14:06
56,75,1467,10,343,5,Very fast delivery,2025-10-23 15:05:47
57,76,581,20,172,5,Excellent service,2025-05-05 14:40:34
58,78,2559,12,324,5,Perfect experience,2026-04-10 00:51:34
59,81,941,19,105,5,Perfect experience,2024-10-19 12:32:24
60,83,319,10,266,5,Perfect experience,2025-06-30 14:49:19
61,84,2969,13,345,3,Wrong order,2025-12-31 23:57:29
62,85,747,12,283,5,Amazing restaurant,2025-07-31 05:22:03
63,90,1235,17,321,5,Highly recommended,2026-02-14 00:21:27
64,91,2144,8,147,4,Excellent service,2024-09-22 16:20:25
65,92,1484,2,17,5,Fresh food,2025-12-06 06:41:13
66,95,1718,6,383,1,Driver was rude,2024-12-26 11:31:53
67,96,2401,17,86,5,Excellent service,2025-07-24 16:20:00
68,97,2173,9,107,5,Fresh food,2025-05-29 15:31:10
69,99,1731,5,96,2,Driver was rude,2026-04-26 23:06:04
70,102,1500,3,25,3,Cold food,2025-03-06 01:32:50
71,105,2551,13,355,4,Food was delicious,2026-06-01 22:34:40
72,106,1334,1,338,5,Amazing restaurant,2026-05-10 00:05:03
73,108,458,19,99,5,Driver was polite,2025-03-22 01:06:45
74,111,170,4,71,5,Highly recommended,2025-02-03 19:00:58
75,116,2686,7,386,3,Wrong order,2025-02-14 16:41:41
76,118,2874,12,248,5,Perfect experience,2025-06-08 00:24:06
77,119,1160,16,191,3,Cold food,2024-09-08 10:28:07
78,120,2294,16,353,4,Fresh food,2025-02-06 19:02:27
79,122,239,5,71,5,Driver was polite,2024-11-30 23:25:01
80,123,395,9,13,4,Highly recommended,2024-12-26 12:49:59
81,125,1344,7,7,5,Excellent service,2025-07-15 04:15:01
82,126,2163,10,158,3,Late delivery,2026-04-13 00:38:33
83,127,1571,9,12,5,Highly recommended,2024-10-15 10:47:36
84,128,444,11,257,3,Cold food,2024-12-21 02:35:53
85,129,1111,20,287,1,Not worth the price,2025-01-27 02:19:45
